run_time,valid_time,variable,value
2026-07-24T21:00:00,2026-07-26T11:00,relative_humidity_2m,80.67
2026-07-24T21:00:00,2026-07-26T12:00,relative_humidity_2m,85.33
2026-07-24T21:00:00,2026-07-26T13:00,relative_humidity_2m,84.5
2026-07-24T21:00:00,2026-07-26T14:00,relative_humidity_2m,85.33
2026-07-24T21:00:00,2026-07-26T15:00,relative_humidity_2m,83.17
2026-07-24T21:00:00,2026-07-26T16:00,relative_humidity_2m,81.33
2026-07-24T21:00:00,2026-07-26T17:00,relative_humidity_2m,79.17
2026-07-24T21:00:00,2026-07-26T18:00,relative_humidity_2m,80.6
2026-07-24T21:00:00,2026-07-26T19:00,relative_humidity_2m,84.6
2026-07-24T21:00:00,2026-07-26T20:00,relative_humidity_2m,89.4
2026-07-24T21:00:00,2026-07-26T21:00,relative_humidity_2m,91.2
2026-07-24T21:00:00,2026-07-24T21:00,wind_speed_10m,4.17
2026-07-24T21:00:00,2026-07-24T22:00,wind_speed_10m,5.27
2026-07-24T21:00:00,2026-07-24T23:00,wind_speed_10m,5.0
2026-07-24T21:00:00,2026-07-25T00:00,wind_speed_10m,5.78
2026-07-24T21:00:00,2026-07-25T01:00,wind_speed_10m,7.22
2026-07-24T21:00:00,2026-07-25T02:00,wind_speed_10m,6.93
2026-07-24T21:00:00,2026-07-25T03:00,wind_speed_10m,6.53
2026-07-24T21:00:00,2026-07-25T04:00,wind_speed_10m,6.75
2026-07-24T21:00:00,2026-07-25T05:00,wind_speed_10m,6.63
2026-07-24T21:00:00,2026-07-25T06:00,wind_speed_10m,6.45
2026-07-24T21:00:00,2026-07-25T07:00,wind_speed_10m,5.22
2026-07-24T21:00:00,2026-07-25T08:00,wind_speed_10m,3.42
2026-07-24T21:00:00,2026-07-25T09:00,wind_speed_10m,3.57
2026-07-24T21:00:00,2026-07-25T10:00,wind_speed_10m,5.9
2026-07-24T21:00:00,2026-07-25T11:00,wind_speed_10m,7.87
2026-07-24T21:00:00,2026-07-25T12:00,wind_speed_10m,9.7
2026-07-24T21:00:00,2026-07-25T13:00,wind_speed_10m,11.58
2026-07-24T21:00:00,2026-07-25T14:00,wind_speed_10m,12.1
2026-07-24T21:00:00,2026-07-25T15:00,wind_speed_10m,13.55
2026-07-24T21:00:00,2026-07-25T16:00,wind_speed_10m,13.47
2026-07-24T21:00:00,2026-07-25T17:00,wind_speed_10m,14.33
2026-07-24T21:00:00,2026-07-25T18:00,wind_speed_10m,12.5
2026-07-24T21:00:00,2026-07-25T19:00,wind_speed_10m,10.22
2026-07-24T21:00:00,2026-07-25T20:00,wind_speed_10m,5.27
2026-07-24T21:00:00,2026-07-25T21:00,wind_speed_10m,3.3
2026-07-24T21:00:00,2026-07-25T22:00,wind_speed_10m,3.8
2026-07-24T21:00:00,2026-07-25T23:00,wind_speed_10m,4.23
2026-07-24T21:00:00,2026-07-26T00:00,wind_speed_10m,5.1
2026-07-24T21:00:00,2026-07-26T01:00,wind_speed_10m,5.02
2026-07-24T21:00:00,2026-07-26T02:00,wind_speed_10m,5.62
2026-07-24T21:00:00,2026-07-26T03:00,wind_speed_10m,6.4
2026-07-24T21:00:00,2026-07-26T04:00,wind_speed_10m,6.23
2026-07-24T21:00:00,2026-07-26T05:00,wind_speed_10m,6.0
2026-07-24T21:00:00,2026-07-26T06:00,wind_speed_10m,6.65
2026-07-24T21:00:00,2026-07-26T07:00,wind_speed_10m,5.83
2026-07-24T21:00:00,2026-07-26T08:00,wind_speed_10m,4.63
2026-07-24T21:00:00,2026-07-26T09:00,wind_speed_10m,4.45
2026-07-24T21:00:00,2026-07-26T10:00,wind_speed_10m,8.42
2026-07-24T21:00:00,2026-07-26T11:00,wind_speed_10m,7.58
2026-07-24T21:00:00,2026-07-26T12:00,wind_speed_10m,7.47
2026-07-24T21:00:00,2026-07-26T13:00,wind_speed_10m,8.9
2026-07-24T21:00:00,2026-07-26T14:00,wind_speed_10m,8.57
2026-07-24T21:00:00,2026-07-26T15:00,wind_speed_10m,9.32
2026-07-24T21:00:00,2026-07-26T16:00,wind_speed_10m,7.18
2026-07-24T21:00:00,2026-07-26T17:00,wind_speed_10m,7.25
2026-07-24T21:00:00,2026-07-26T18:00,wind_speed_10m,5.72
2026-07-24T21:00:00,2026-07-26T19:00,wind_speed_10m,3.14
2026-07-24T21:00:00,2026-07-26T20:00,wind_speed_10m,2.52
2026-07-24T21:00:00,2026-07-26T21:00,wind_speed_10m,4.14
2026-07-24T21:00:00,2026-07-24T21:00,temperature_2m,22.33
2026-07-24T21:00:00,2026-07-24T22:00,temperature_2m,20.62
2026-07-24T21:00:00,2026-07-24T23:00,temperature_2m,19.39
2026-07-24T21:00:00,2026-07-25T00:00,temperature_2m,18.65
2026-07-24T21:00:00,2026-07-25T01:00,temperature_2m,17.98
2026-07-24T21:00:00,2026-07-25T02:00,temperature_2m,17.62
2026-07-24T21:00:00,2026-07-25T03:00,temperature_2m,17.25
2026-07-24T21:00:00,2026-07-25T04:00,temperature_2m,17.15
2026-07-24T21:00:00,2026-07-25T05:00,temperature_2m,17.38
2026-07-24T21:00:00,2026-07-25T06:00,temperature_2m,17.96
2026-07-24T21:00:00,2026-07-25T07:00,temperature_2m,19.36
2026-07-24T21:00:00,2026-07-25T08:00,temperature_2m,21.32
2026-07-24T21:00:00,2026-07-25T09:00,temperature_2m,22.88
2026-07-24T21:00:00,2026-07-25T10:00,temperature_2m,24.44
2026-07-24T21:00:00,2026-07-25T11:00,temperature_2m,25.62
2026-07-24T21:00:00,2026-07-25T12:00,temperature_2m,26.36
2026-07-24T21:00:00,2026-07-25T13:00,temperature_2m,26.88
2026-07-24T21:00:00,2026-07-25T14:00,temperature_2m,27.3
